名称,建议品牌,预算型号,招标技术参数
笔记本电脑,戴尔，联想,联想拯救者Y7000,1.操作系统：Win 10 家庭中文版 2.处理器：Intel 第8代 酷睿，2.3GHz，i5-8300H 3.内存容量：8GB 4.固态硬盘：512GB SSD 5.显卡：GTX1050Ti 6.屏幕规格：15.6英寸 7.物理分辨率：1920×1080 8.屏幕类型：IPS 9.内置蓝牙：蓝牙4.2 10：局域网：10/100/1000Mbps 11.无线局域网：有 12.音频端口：耳机、麦克风二合一接口 13.音效系统：内置扬声器，内置麦克风 14.摄像头像素：720p 15.内置锂离子电池：续航时间2-5小时 16.电源适配器：100-240V自适应交流电源适配器 17.提供设备原厂针对本项目的售后服务承诺书
显示器,三星，戴尔,戴尔 P2419H,1.面板类型：IPS技术 2.屏幕比例：16:9 3.最佳分辨率：1920×1080 4.亮度：250cd/m2 5.对比度：1000:1 6.可视角度：178°/178° 7.刷新率：60HZ 8.响应时间：5ms 9.电源：100 to 240 VAC 10.接口：VGA、HDMI、DP、USB 11.提供设备原厂针对本项目的售后服务承诺书
Linux微型编程计算机套装,定制,定制,"1.树莓派3B（raspberry pi）主机 2.SD卡 32G Class10 3.SD卡读卡器 USB接口 4.USB电源 5V2A及以上 5.USB键盘 标准106键位 6.USB鼠标  7.HDMI线缆  树莓派主机参数： 1.SOC性能≥博通 BCM2837  2.CPU性能≥ARM Cortex-A53 1.2GHz 64-bit 四核 ARMv8 CPU 3.GPU性能≥Broadcom VideoCrore IV，OpenGL ES 2.0,1080p 30 h.264/MPEG-4 AVC高清解码器  4.内存性能≥1GB (LPDDR2 400GHz)  5.USB数量≥4个， 4个USB 2.0接口  6.视频输入支持15-针头 MIPI 相机 (CSI) 界面，可被树莓派相机或树莓派相机(无红外线版)使用  7.影像输出支持HDMI 1.4 分辨率为640 x 350 至 1920 x 1200；以及3.5mm口，PAL 和NTSC制式输出  8.音源输出支持3.5mm插孔，HDMI电子输出或I_S  9.板载存储支持MicroSD卡（即TF卡）插槽  10.网络接口支持10/100M以太网接口、802.11n Wireless LAN、Bluetooth 4.0、Bluetooth Low Energy (BLE) 集成蓝牙4.0和WiFi 11.外设支持40个GPIO及HAT规格铺设  12.额定功率支持800mAH(4.0W)  13.电源输入支持5V 2.5A / 通过MicroUSB或GPIO头  14.重量≤45g  15.总体尺寸≤85 x 56 x 17mm  16.操作系统支持Debian GNU/Linux 、Fedora、Arch Linux 、RISC OS、Windows10 IoT "
Linux微型GPU编程计算机套装,NVIDIA,Jetson Nano,1.Jetson Nano主机 2.SD卡 32G Class10 3.SD卡读卡器 USB接口 4.USB电源 5V2A及以上 5.USB键盘 标准106键位 6.USB鼠标  7.HDMI线缆  主机参数 1.中央处理器性能≥64位四核ARM A57@1.43GHz 2.GPU性能≥128核NVIDIA Maxwell @921MHz 3.内存性能≥4GB 64位LPDDR4@1600MHz 4.存储支持MicroSD，不低于16GB UHS-1 5.视频编码支持4Kp30、4x1080p30、2x1080p60 6.视频解码支持4Kp60、2x4Kp30、8x1080p30、4x1080p60 7.USB数量≥5个，4个USB 3.0和1个USB2.0 Micro B 8.显示接口数量≥2个，1个HDMI，1个DisplayPort 9.网口数量≥1个，千兆以太网（RJ45） 10.无线支持M.2带有PCIe x1的Key-E 11.相机接口≥1个MIPI CSI 12.其他IO包括 GPIOs、I_C、I_S、SPI、UART 13.电源支持Micro-USB 5V 2A和DC power adapter 5V 4A 14.操作系统支持Linux 15.软件框架支持CUDA、TensorFlow、PyTorch、Opencv等 16.功率≤5W，峰值≤10W 17.核心板尺寸≤70mmx45mm
Windows微型编程计算机套装,芯盛美、占美,占美,1. 采用无风扇设计。 2. CPU 7100U 及以上。 3. 内存 8G 及以上。 4. 固态硬盘 128G及以上。 5. 支持WIFI及天线。 6. 带有VGA、HDMI显示接口。 7. 千兆Lan。 8. USB6个，其中至少4个USB3.0。 9. 带电源适配器。 
开源电子原型平台,Arduino,Arduino UNO,1.微控制器 ATmega328P 2.工作电压 5 V 3.输入电压（推荐） 7-12 V 4.输入电压（极限） 6-20 V 5.数字I/O引脚 14 6.PWM通道 6 7.模拟输入通道（ADC） 6 8.每个I/O直流输出能力 20 mA 9.3.3V端口输出能力 50 mA 10.Flash 32 KB（其中引导程序使用0.5 KB） 11.SRAM 2 KB 12.EEPROM 1 KB 13.时钟速度 16 MHz 14.板载LED引脚 13
物联网开发板,乐鑫ESP32，ESP8266,NodeMCU,1.微控制器 ESP8266 2.工作电压 3.3 V 3.输入电压（推荐） 5 V 4.数字I/O引脚 11 5.PWM通道 11 6.模拟输入通道（ADC） 1 7.每个I/O直流输出能力 12 mA 8.Flash 4 MB 9.SRAM 160 KB 10.EEPROM 1 KB 11.时钟速度 80/160 MHz （可切换） 12.板载LED引脚 2 
3D打印机,创想三维,创想三维CR-2020,1.成型原理 熔融堆积（FDM） 2.成型平台尺寸 200×200×200mm 3.打印精度 ±0.1mm 4.打印层厚 0.1-0.4mm 5.打印喷头 单喷头 6.喷嘴直径 标配0.4mm，可换0.2/0.3/0.6/0.8mm 7.打印速度 最大：100mm/s，正常：60mm/s 8.随机软件 创想三维切片软件，Cura，Simplify3D 9.打印数据格式 STL，OBJ，G-Code 10.操作系统 Windows，MAC，Linux 11.打印材料 PLA，ABS，TPU，碳纤，含金属耗材 12.耗材直径 1.75mm 13.喷头工作温度 ≤250℃ 14.底板工作温度 ≤110℃ 15.电源要求 额定电压：110-220V，输出：24V 16.整机功率 200W 17.提供设备原厂针对本项目的售后服务承诺书
3D打印耗材,绘威、天威,绘威多种彩色PLA,1.材质：PLA 2.规格：直径1.75mm（公差+/-0.02mm） 3.打印温度：190摄氏度-230摄氏度 4.颜色：多种颜色 5.熔点：150摄氏度
路由器,华为、TPLINK、小米,小米路由器3G,1.规格信息  Wan口数量（千兆）1个，Lan口数量（千兆）2个 2.无线桥接 支持 3.天线可拆卸 不支持 4.WPS 支持 5.Qos限速功能 支持 6.天线增益 外置全向多振子高增益天线4根（2.4G最大增益5dBi 2根 5G最大增益6dBi 2根） 7.传输标准 IEEE 802.11n；IEEE 802.11g；IEEE 802.11b；IEEE 802.11.ac；IEEE 802.11.a；IEEE 802.3；IEEE 802.3u；IEEE 802.3ab 8.提供设备原厂针对本项目的售后服务承诺书
